"school","sex","age","Pstatus","Medu","Fedu","internet","G1.x","G2.x","G3.x","G1.y","G2.y","G3.y","media_math","media_port"
"1","GP","F",15,"T",1,1,"yes",7,10,10,13,13,13,7,13
"2","GP","F",15,"T",1,1,"yes",8,6,5,13,11,11,8,13
"3","GP","F",15,"T",2,2,"no",14,13,13,14,13,12,14,14
"4","GP","F",15,"T",2,4,"yes",10,9,8,10,11,10,10,10
"5","GP","F",15,"T",3,3,"yes",10,10,10,13,13,13,10,13
"6","GP","F",15,"T",3,4,"yes",12,12,11,11,12,12,12,11
"7","GP","F",15,"T",3,4,"yes",12,0,0,10,11,12,12,10
"8","GP","F",15,"T",2,2,"yes",8,9,8,11,10,11,8,11
"9","GP","F",15,"T",3,1,"yes",16,16,16,15,15,15,16,15
"10","GP","F",15,"A",3,3,"no",10,11,11,10,10,10,10,10
"11","GP","F",15,"A",4,3,"yes",14,15,15,15,14,15,14,15
"12","GP","F",15,"T",1,1,"yes",8,0,0,11,12,13,8,11
"13","GP","F",15,"T",1,1,"yes",9,10,10,13,12,12,9,13
"14","GP","F",15,"T",1,1,"yes",8,11,11,12,12,12,8,12
"15","GP","F",15,"T",1,2,"yes",10,11,11,13,12,13,10,13
"16","GP","F",15,"T",1,2,"yes",16,15,15,14,14,14,16,14
"17","GP","F",15,"T",2,1,"yes",10,12,12,10,12,13,10,10
"18","GP","F",15,"T",2,2,"yes",7,8,8,10,10,10,7,10
"19","GP","F",15,"T",2,3,"no",8,7,6,11,11,11,8,11
"20","GP","F",15,"T",3,2,"yes",6,7,0,11,11,11,6,11
"21","GP","F",15,"T",3,2,"yes",7,6,6,11,10,10,7,11
"22","GP","F",15,"T",4,2,"yes",15,14,15,14,14,14,15,14
"23","GP","F",15,"T",4,2,"yes",13,14,14,15,15,15,13,15
"24","GP","F",15,"T",4,3,"yes",16,17,18,14,13,13,16,14
"25","GP","F",15,"T",4,4,"yes",11,0,0,13,14,15,11,13
"26","GP","F",15,"T",4,4,"yes",8,10,11,13,12,12,8,13
"27","GP","F",15,"T",4,4,"yes",7,9,8,12,11,12,7,12
"28","GP","F",15,"T",4,4,"yes",7,7,7,13,12,12,7,13
"29","GP","F",15,"T",4,4,"yes",10,8,9,14,14,14,10,14
"30","GP","F",15,"T",4,4,"yes",9,11,11,13,13,13,9,13
"31","GP","F",15,"T",4,4,"yes",16,16,15,13,14,14,16,13
"32","GP","F",15,"A",3,3,"yes",10,13,13,13,12,13,10,13
"33","GP","F",15,"A",3,4,"yes",7,10,11,10,11,11,7,10
"34","GP","F",15,"A",4,3,"yes",8,8,6,10,11,11,8,10
"35","GP","F",15,"T",1,1,"yes",7,8,10,12,13,12,7,12
"36","GP","F",15,"T",3,2,"yes",7,6,6,12,11,11,7,12
"37","GP","F",15,"T",4,2,"yes",11,13,13,16,14,16,11,16
"38","GP","F",15,"T",4,3,"yes",10,10,10,13,12,12,10,13
"39","GP","F",16,"T",2,2,"yes",10,10,11,13,13,13,10,13
"40","GP","F",16,"T",3,3,"yes",7,10,10,11,11,11,7,11
"41","GP","F",16,"T",4,4,"no",10,11,11,17,16,16,10,17
"42","GP","F",16,"A",2,1,"yes",8,9,10,12,13,12,8,12
"43","GP","F",16,"A",2,2,"yes",12,13,14,13,13,13,12,13
"44","GP","F",16,"A",3,1,"yes",7,7,7,11,11,12,7,11
"45","GP","F",16,"A",3,3,"yes",4,0,0,9,9,10,4,9
"46","GP","F",16,"A",3,4,"yes",12,11,11,15,13,14,12,15
"47","GP","F",16,"T",1,1,"no",9,9,10,12,13,13,9,12
"48","GP","F",16,"T",1,1,"yes",10,8,11,10,10,16,10,10
"49","GP","F",16,"T",1,3,"yes",8,7,0,14,13,13,8,14
"50","GP","F",16,"T",2,1,"no",8,9,10,13,12,12,8,13
"51","GP","F",16,"T",2,1,"yes",13,12,12,9,10,10,13,9
"52","GP","F",16,"T",2,2,"yes",10,13,13,8,10,10,10,8
"53","GP","F",16,"T",2,2,"yes",6,7,0,12,12,13,6,12
"54","GP","F",16,"T",2,2,"yes",8,7,8,12,11,11,8,12
"55","GP","F",16,"T",2,2,"yes",11,11,11,13,13,13,11,13
"56","GP","F",16,"T",2,2,"yes",13,13,11,13,12,14,13,13
"57","GP","F",16,"T",2,2,"yes",6,9,8,10,11,12,6,10
"58","GP","F",16,"T",2,3,"no",8,10,10,11,12,12,8,11
"59","GP","F",16,"T",2,3,"yes",11,12,13,12,12,13,11,12
"60","GP","F",16,"T",2,3,"yes",16,16,17,13,13,14,16,13
"61","GP","F",16,"T",3,1,"yes",7,7,6,10,9,10,7,10
"62","GP","F",16,"T",3,2,"yes",12,13,12,14,15,16,12,14
"63","GP","F",16,"T",3,3,"no",6,10,10,11,13,13,6,11
"64","GP","F",16,"T",3,3,"yes",7,7,8,9,11,11,7,9
"65","GP","F",16,"T",3,3,"no",8,10,10,13,14,14,8,13
"66","GP","F",16,"T",3,3,"yes",11,12,11,11,11,11,11,11
"67","GP","F",16,"T",3,4,"yes",5,5,5,12,11,11,5,12
"68","GP","F",16,"T",4,2,"yes",14,15,16,17,17,18,14,17
"69","GP","F",16,"T",4,2,"yes",15,16,16,16,15,16,15,16
"70","GP","F",16,"T",4,2,"yes",11,10,10,13,14,14,11,13
"71","GP","F",16,"T",4,3,"yes",16,16,16,14,14,15,16,14
"72","GP","F",16,"T",4,3,"yes",7,9,8,12,13,13,7,12
"73","GP","F",16,"T",4,3,"yes",10,9,9,14,13,13,10,14
"74","GP","F",16,"T",4,3,"yes",11,12,13,14,15,15,11,14
"75","GP","F",16,"T",4,4,"yes",14,14,14,16,16,17,14,16
"76","GP","F",16,"T",4,4,"yes",14,14,14,17,17,17,14,17
"77","GP","F",16,"T",4,4,"yes",11,14,14,12,13,13,11,12
"78","GP","F",16,"T",4,4,"yes",13,14,14,13,13,14,13,13
"79","GP","F",16,"T",4,4,"yes",13,13,14,15,16,16,13,15
"80","GP","F",16,"A",3,3,"yes",11,12,11,13,12,13,11,13
"81","GP","F",16,"T",1,1,"yes",14,14,13,10,11,11,14,10
"82","GP","F",16,"T",1,2,"yes",8,10,9,13,13,10,8,13
"83","GP","F",16,"T",2,2,"no",8,7,6,13,11,11,8,13
"84","GP","F",16,"T",2,2,"yes",10,10,9,10,11,11,10,10
"85","GP","F",16,"T",2,2,"yes",7,10,11,11,11,10,7,11
"86","GP","F",16,"T",2,2,"yes",12,13,13,14,13,13,12,14
"87","GP","F",16,"T",2,4,"yes",13,13,13,14,12,13,13,14
"88","GP","F",16,"T",3,1,"no",7,6,6,12,13,12,7,12
"89","GP","F",16,"T",3,3,"yes",10,11,9,14,14,15,10,14
"90","GP","F",16,"T",4,3,"yes",16,15,15,16,15,16,16,16
"91","GP","F",16,"T",4,4,"yes",14,15,16,15,15,14,14,15
"92","GP","F",16,"T",4,4,"yes",9,9,10,11,10,11,9,11
"93","GP","F",17,"A",3,2,"yes",9,10,10,14,14,16,9,14
"94","GP","F",17,"T",2,1,"no",13,11,11,13,13,13,13,13
"95","GP","F",17,"T",2,1,"yes",6,6,6,11,10,11,6,11
"96","GP","F",17,"T",2,2,"yes",7,6,6,13,13,13,7,13
"97","GP","F",17,"T",2,4,"yes",12,14,14,15,15,15,12,15
"98","GP","F",17,"T",3,4,"yes",11,11,10,15,15,17,11,15
"99","GP","F",17,"T",4,3,"yes",7,7,7,11,12,12,7,11
"100","GP","F",17,"T",2,2,"yes",11,11,11,11,11,10,11,11
"101","GP","F",17,"T",3,1,"no",18,18,18,18,19,19,18,18
"102","GP","F",17,"T",4,4,"no",8,10,10,12,11,11,8,12
"103","GP","F",17,"A",2,1,"yes",12,10,12,15,15,16,12,15
"104","GP","F",17,"A",2,2,"yes",9,8,0,10,12,14,9,10
"105","GP","F",17,"A",3,3,"yes",8,7,9,12,13,14,8,12
"106","GP","F",17,"A",4,3,"yes",13,13,13,15,14,17,13,15
"107","GP","F",17,"A",4,4,"no",6,5,6,10,13,13,6,10
"108","GP","F",17,"T",1,1,"yes",5,5,6,9,11,11,5,9
"109","GP","F",17,"T",1,1,"no",6,5,0,12,12,12,6,12
"110","GP","F",17,"T",1,1,"yes",8,8,9,12,11,12,8,12
"111","GP","F",17,"T",1,1,"no",9,9,10,14,15,15,9,14
"112","GP","F",17,"T",1,1,"yes",13,12,12,13,13,14,13,13
"113","GP","F",17,"T",2,2,"yes",9,10,10,12,12,13,9,12
"114","GP","F",17,"T",2,2,"yes",10,9,11,12,12,14,10,12
"115","GP","F",17,"T",2,2,"no",11,9,9,14,13,13,11,14
"116","GP","F",17,"T",2,3,"no",7,7,8,12,13,13,7,12
"117","GP","F",17,"T",2,4,"yes",10,10,10,15,16,16,10,15
"118","GP","F",17,"T",2,4,"no",16,17,17,17,18,17,16,17
