"school","sex","age","Pstatus","Medu","Fedu","internet","G1.x","G2.x","G3.x","G1.y","G2.y","G3.y"
"1","GP","F",15,"T",1,1,"yes",7,10,10,13,13,13
"2","GP","F",15,"T",1,1,"yes",8,6,5,13,11,11
"3","GP","F",15,"T",2,2,"no",14,13,13,14,13,12
"4","GP","F",15,"T",2,4,"yes",10,9,8,10,11,10
"5","GP","F",15,"T",3,3,"yes",10,10,10,13,13,13
"6","GP","F",15,"T",3,4,"yes",12,12,11,11,12,12
"7","GP","F",15,"T",3,4,"yes",12,0,0,10,11,12
"8","GP","F",15,"T",2,2,"yes",8,9,8,11,10,11
"9","GP","F",15,"T",3,1,"yes",16,16,16,15,15,15
"10","GP","F",15,"A",3,3,"no",10,11,11,10,10,10
"11","GP","F",15,"A",4,3,"yes",14,15,15,15,14,15
"12","GP","F",15,"T",1,1,"yes",8,0,0,11,12,13
"13","GP","F",15,"T",1,1,"yes",9,10,10,13,12,12
"14","GP","F",15,"T",1,1,"yes",8,11,11,12,12,12
"15","GP","F",15,"T",1,2,"yes",10,11,11,13,12,13
"16","GP","F",15,"T",1,2,"yes",16,15,15,14,14,14
"17","GP","F",15,"T",2,1,"yes",10,12,12,10,12,13
"18","GP","F",15,"T",2,2,"yes",7,8,8,10,10,10
"19","GP","F",15,"T",2,3,"no",8,7,6,11,11,11
"20","GP","F",15,"T",3,2,"yes",6,7,0,11,11,11
"21","GP","F",15,"T",3,2,"yes",7,6,6,11,10,10
"22","GP","F",15,"T",4,2,"yes",15,14,15,14,14,14
"23","GP","F",15,"T",4,2,"yes",13,14,14,15,15,15
"24","GP","F",15,"T",4,3,"yes",16,17,18,14,13,13
"25","GP","F",15,"T",4,4,"yes",11,0,0,13,14,15
"26","GP","F",15,"T",4,4,"yes",8,10,11,13,12,12
"27","GP","F",15,"T",4,4,"yes",7,9,8,12,11,12
"28","GP","F",15,"T",4,4,"yes",7,7,7,13,12,12
"29","GP","F",15,"T",4,4,"yes",10,8,9,14,14,14
"30","GP","F",15,"T",4,4,"yes",9,11,11,13,13,13
"31","GP","F",15,"T",4,4,"yes",16,16,15,13,14,14
"32","GP","F",15,"A",3,3,"yes",10,13,13,13,12,13
"33","GP","F",15,"A",3,4,"yes",7,10,11,10,11,11
"34","GP","F",15,"A",4,3,"yes",8,8,6,10,11,11
"35","GP","F",15,"T",1,1,"yes",7,8,10,12,13,12
"36","GP","F",15,"T",3,2,"yes",7,6,6,12,11,11
"37","GP","F",15,"T",4,2,"yes",11,13,13,16,14,16
"38","GP","F",15,"T",4,3,"yes",10,10,10,13,12,12
"39","GP","F",16,"T",2,2,"yes",10,10,11,13,13,13
"40","GP","F",16,"T",3,3,"yes",7,10,10,11,11,11
"41","GP","F",16,"T",4,4,"no",10,11,11,17,16,16
"42","GP","F",16,"A",2,1,"yes",8,9,10,12,13,12
"43","GP","F",16,"A",2,2,"yes",12,13,14,13,13,13
"44","GP","F",16,"A",3,1,"yes",7,7,7,11,11,12
"45","GP","F",16,"A",3,3,"yes",4,0,0,9,9,10
"46","GP","F",16,"A",3,4,"yes",12,11,11,15,13,14
"47","GP","F",16,"T",1,1,"no",9,9,10,12,13,13
"48","GP","F",16,"T",1,1,"yes",10,8,11,10,10,16
"49","GP","F",16,"T",1,3,"yes",8,7,0,14,13,13
"50","GP","F",16,"T",2,1,"no",8,9,10,13,12,12
"51","GP","F",16,"T",2,1,"yes",13,12,12,9,10,10
"52","GP","F",16,"T",2,2,"yes",10,13,13,8,10,10
"53","GP","F",16,"T",2,2,"yes",6,7,0,12,12,13
"54","GP","F",16,"T",2,2,"yes",8,7,8,12,11,11
"55","GP","F",16,"T",2,2,"yes",11,11,11,13,13,13
"56","GP","F",16,"T",2,2,"yes",13,13,11,13,12,14
"57","GP","F",16,"T",2,2,"yes",6,9,8,10,11,12
"58","GP","F",16,"T",2,3,"no",8,10,10,11,12,12
"59","GP","F",16,"T",2,3,"yes",11,12,13,12,12,13
"60","GP","F",16,"T",2,3,"yes",16,16,17,13,13,14
"61","GP","F",16,"T",3,1,"yes",7,7,6,10,9,10
"62","GP","F",16,"T",3,2,"yes",12,13,12,14,15,16
"63","GP","F",16,"T",3,3,"no",6,10,10,11,13,13
"64","GP","F",16,"T",3,3,"yes",7,7,8,9,11,11
"65","GP","F",16,"T",3,3,"no",8,10,10,13,14,14
"66","GP","F",16,"T",3,3,"yes",11,12,11,11,11,11
"67","GP","F",16,"T",3,4,"yes",5,5,5,12,11,11
"68","GP","F",16,"T",4,2,"yes",14,15,16,17,17,18
"69","GP","F",16,"T",4,2,"yes",15,16,16,16,15,16
"70","GP","F",16,"T",4,2,"yes",11,10,10,13,14,14
"71","GP","F",16,"T",4,3,"yes",16,16,16,14,14,15
"72","GP","F",16,"T",4,3,"yes",7,9,8,12,13,13
"73","GP","F",16,"T",4,3,"yes",10,9,9,14,13,13
"74","GP","F",16,"T",4,3,"yes",11,12,13,14,15,15
"75","GP","F",16,"T",4,4,"yes",14,14,14,16,16,17
"76","GP","F",16,"T",4,4,"yes",14,14,14,17,17,17
"77","GP","F",16,"T",4,4,"yes",11,14,14,12,13,13
"78","GP","F",16,"T",4,4,"yes",13,14,14,13,13,14
